Dosja,Arkiva,Fondi,Viti,Dosja,Faqja,Titulli,Anglisht,Citimi ,Shenime,,,,
MPJ 20/1947,MEPJ,MPJ,1947,20,6,"Perfaqesia diplomatike e Shqiperise ne Moske derguar Ministrise se Puneve te Jashtme, dt. 1.9.1947","Albanian Embassy in Moscow to Ministry of Foreign Affairs, Tirana, 1.9.1947","MEPJ, F.MPJ, V.1947, D.20, Fl.6. Document title: Perfaqesia diplomatike e Shqiperise ne Moske derguar Ministrise se Puneve te Jashtme, dt. 1.9.1947[Albanian Embassy in Moscow to Ministry of Foreign Affairs, Tirana, 1.9.1947.]",,,,,
511_1947_29,AQSH,511,1947,29,na,Qendrimet politike te disa studenteve qe deshirojne te vazhdojne studimet jashte shtetit,Political attitudes of some students requesting to continue their studies abroad,"AQSH, F.511, V.1947, D.29, Fl.na. Document title: Qendrimet politike te disa studenteve qe deshirojne te vazhdojne studimet jashte shtetit[Political attitudes of some students requesting to continue their studies abroad.]",,,,,
511_1947_60,AQSH,511,1947,60,57-58,"Ministria e Arsimit derguar Ministrise se Puneve te Jashtme, 11.9.1947","Ministry of Education to Ministry of Foreign Affairs, 11 September 1947","AQSH, F.511, V.1947, D.60, Fl.57-58. Document title: Ministria e Arsimit derguar Ministrise se Puneve te Jashtme, 11.9.1947[Ministry of Education to Ministry of Foreign Affairs, 11 September 1947.]",,,,,
511_1947_60,AQSH,511,1947,60,62-64,Marreveshje midis qeverise te Republikes Popullore te Shqiperise dhe Qeverise te Bashkmit te Republikave Socjaliste Sovjetike per mesimin e qytetareve te Shqiperise …,Agreement between the People's Republic of Albania and USSR on the teaching of Albanian citizens … ,"AQSH, F.511, V.1947, D.60, Fl.62-64. Document title: Marreveshje midis qeverise te Republikes Popullore te Shqiperise dhe Qeverise te Bashkmit te Republikave Socjaliste Sovjetike per mesimin e qytetareve te Shqiperise …[Agreement between the People's Republic of Albania and USSR on the teaching of Albanian citizens … .]",,,,,
511_1947_60,AQSH,511,1947,60,67-68,"Ministria e Jashtme derguar Ministris se Arsimit, dt. 6.02.1947","Ministry of Foreign Affairs to Ministry of Education, 6 February 1947.","AQSH, F.511, V.1947, D.60, Fl.67-68. Document title: Ministria e Jashtme derguar Ministris se Arsimit, dt. 6.02.1947[Ministry of Foreign Affairs to Ministry of Education, 6 February 1947..]",,,,,
511_1947_60,AQSH,511,1947,60,74-,"Legata Shqiptare ne Moske derguar Ministrise se Puneve te Jashtme, dt. 22.8.1947","Albanian Embassy to USSR, Moscow, to Ministry of Foreign Affairs of Albania, 22 August 1947","AQSH, F.511, V.1947, D.60, Fl.74-. Document title: Legata Shqiptare ne Moske derguar Ministrise se Puneve te Jashtme, dt. 22.8.1947[Albanian Embassy to USSR, Moscow, to Ministry of Foreign Affairs of Albania, 22 August 1947.]",,,,,
511_1947_60,AQSH,511,1947,60,146,"Ministria e Arsimit derguar Ministrise se Puneve te Jashtme, dt. n.a., 1947","Ministry of Education to Ministry of Foreign Affairs, 1947. n.d.","AQSH, F.511, V.1947, D.60, Fl.146. Document title: Ministria e Arsimit derguar Ministrise se Puneve te Jashtme, dt. n.a., 1947[Ministry of Education to Ministry of Foreign Affairs, 1947. n.d..]",,,,,
511_1947_60,AQSH,511,1947,60,166,"Ministria e Arsimit  derguar inspektorit te studenteve ne Beograd, dt. 29.3.1947","Ministry of Education to the Student Inspector in Belgrade, 29 March 1947","AQSH, F.511, V.1947, D.60, Fl.166. Document title: Ministria e Arsimit  derguar inspektorit te studenteve ne Beograd, dt. 29.3.1947[Ministry of Education to the Student Inspector in Belgrade, 29 March 1947.]",,,,,
511_1947_60,AQSH,511,1947,60,171,"Ministria e Arsimit derguar Ministrise se Puneve te Jashtme, 17.7.1947","Ministry of Education to Ministry of Foreign Affairs, 17 July 1947","AQSH, F.511, V.1947, D.60, Fl.171. Document title: Ministria e Arsimit derguar Ministrise se Puneve te Jashtme, 17.7.1947[Ministry of Education to Ministry of Foreign Affairs, 17 July 1947.]",,,,,
511_1947_60,AQSH,511,1947,60,173,"Ministria e Puneve te Jashtme derguar Ministrise se Arsimit, dt. 16.08.1947","Ministry of Foreign Affairs to Ministry of Education, 16 August 1947","AQSH, F.511, V.1947, D.60, Fl.173. Document title: Ministria e Puneve te Jashtme derguar Ministrise se Arsimit, dt. 16.08.1947[Ministry of Foreign Affairs to Ministry of Education, 16 August 1947.]",,,,,
