Dosja,Arkiva,Fondi,Viti,Dosja,Faqja,Titulli,Anglisht,Citimi ,Shenime,,,,
14-Ap_1957_2,AQSH,14-APOU,1957,2,n.a.,Marredheniet e Shqiperise me B.S.,Relations with the Communist Party of USSR,"AQSH, F.14-APOU, V.1957, D.2, Fl.n.a.. Document title: Marredheniet e Shqiperise me B.S.[Relations with the Communist Party of USSR.]",,,,,
19048_1957_6,AQSH,19048,1957,6,2-4,"Raport per gjendjen e bibliotekes shkencore dhe masat per permiresimin e saj, dt. 15.07.1957","Report on the university library and measurements for improvement, 15 July 1957","AQSH, F.19048, V.1957, D.6, Fl.2-4. Document title: Raport per gjendjen e bibliotekes shkencore dhe masat per permiresimin e saj, dt. 15.07.1957[Report on the university library and measurements for improvement, 15 July 1957.]",,,,,
19048_1957_76,AQSH,19048,1957,76,11,"Universiteti Shteteror i Tiranes derguar Ministrise se Financave, dt. 26.09.1957","University of Tirana to Ministry of Finance, 26 September 1957","AQSH, F.19048, V.1957, D.76, Fl.11. Document title: Universiteti Shteteror i Tiranes derguar Ministrise se Financave, dt. 26.09.1957[University of Tirana to Ministry of Finance, 26 September 1957.]",,,,,
19048_1957_76,AQSH,19048,1957,76,42,"Ministria e Arsimit derguar Universitetit Shteteror te Tiranes, dt. 25.09.1957","Ministry of Education to University of Tirana,  25 September 1957","AQSH, F.19048, V.1957, D.76, Fl.42. Document title: Ministria e Arsimit derguar Universitetit Shteteror te Tiranes, dt. 25.09.1957[Ministry of Education to University of Tirana,  25 September 1957.]",,,,,
1048_1957_76,AQSH,1048,1957,76,,Organika e universitetit dhe e institutit pedagogjik 2-vjecar.,Organizational structure of the university and of the 2-year Institute of Pedagogy,"AQSH, F.1048, V.1957, D.76, Fl.. Document title: Organika e universitetit dhe e institutit pedagogjik 2-vjecar.[Organizational structure of the university and of the 2-year Institute of Pedagogy.]",,,,,
14/APOU_1958_2,AQSH,14-APOU,1958,2,51,KQ i PPSH to the members. Dt. 27.11.1958. (Sekret).,Party Central Committee to the members. 27.11.1958,"AQSH, F.14-APOU, V.1958, D.2, Fl.51. Document title: KQ i PPSH to the members. Dt. 27.11.1958. (Sekret).[Party Central Committee to the members. 27.11.1958.]",,,,,
511/1958/5,AQSH,511,1958,5,5-6,Materiale per Pleniumin e K.Q. P.P.SH per arsimin: Zgjerimi dhe Zhvillimi i Metejshem i Rrjetit te Shkollave,Materials for the plenary meeting of the Central Committee of the Party: The further expansion of school network.,"AQSH, F.511, V.1958, D.5, Fl.5-6. Document title: Materiale per Pleniumin e K.Q. P.P.SH per arsimin: Zgjerimi dhe Zhvillimi i Metejshem i Rrjetit te Shkollave[Materials for the plenary meeting of the Central Committee of the Party: The further expansion of school network..]",,,,,
511/1958/48,AQSH,511,1958,48,59,"Komiteti i Partise se Rrethit, Peshkopi, derguar Ministrise se Arsimit dhe Kultures., dt. 14.01.1958",District Party Committee - Peshkopi to Ministry of Education and Culture. 14.01.1958,"AQSH, F.511, V.1958, D.48, Fl.59. Document title: Komiteti i Partise se Rrethit, Peshkopi, derguar Ministrise se Arsimit dhe Kultures., dt. 14.01.1958[District Party Committee - Peshkopi to Ministry of Education and Culture. 14.01.1958.]",,,,,
511/1958/49,AQSH,511,1958,48,138,"Ambasada e RPSH ne Budapest, derguar Ministrise se Arsimit dhe Kultures. Dt. 30.12.1958",Embassy in Budapest to Ministry of Education and Culture. 30.12.1958,"AQSH, F.511, V.1958, D.48, Fl.138. Document title: Ambasada e RPSH ne Budapest, derguar Ministrise se Arsimit dhe Kultures. Dt. 30.12.1958[Embassy in Budapest to Ministry of Education and Culture. 30.12.1958.]",,,,,
511/1958/50,AQSH,511,1958,48,140,Relacion mbi ndryshimet ne listen e studenteve jashte shtetit. ,Report on the changes in the list of oubound students. ,"AQSH, F.511, V.1958, D.48, Fl.140. Document title: Relacion mbi ndryshimet ne listen e studenteve jashte shtetit. [Report on the changes in the list of oubound students. .]",,,,,
490_1958_961,AQSH,490,1958,961,10-44,"Keshilli i Ministrave derguar K.Q. te PPSH. Dt. 24.04.1958 ""Projekt-vendim mbi shperndarjen e kuadrove qe mbarojne kete vit studimet.""","Council of Ministers to the Central Committee of the Party. 24.04.1958 ""Draft-decree on the distribution of the cadres who graduate this year.""","AQSH, F.490, V.1958, D.961, Fl.10-44. Document title: Keshilli i Ministrave derguar K.Q. te PPSH. Dt. 24.04.1958 ""Projekt-vendim mbi shperndarjen e kuadrove qe mbarojne kete vit studimet.""[Council of Ministers to the Central Committee of the Party. 24.04.1958 ""Draft-decree on the distribution of the cadres who graduate this year."".]",,,,,
489_1958_165,AQSH,489,1958,165,,Biografite e kandidateve per deputete te Kuvendit Popullor (Legjislatura e 4).,Biographies of the candidats for the National Assembly (Fourth Legislation Term),"AQSH, F.489, V.1958, D.165, Fl.. Document title: Biografite e kandidateve per deputete te Kuvendit Popullor (Legjislatura e 4).[Biographies of the candidats for the National Assembly (Fourth Legislation Term).]",,,,,
495_1958_14,AQSH,495,1958,14,4,"Komisioni i Planit te Shtetit per Sekretariatin e Keshillit Ekonomik, dt. 2.06.1958","State Planning Commission for the Council of Comecom, 2 June 1958","AQSH, F.495, V.1958, D.14, Fl.4. Document title: Komisioni i Planit te Shtetit per Sekretariatin e Keshillit Ekonomik, dt. 2.06.1958[State Planning Commission for the Council of Comecom, 2 June 1958.]",,,,,
"511, 1959, 42.",AQSH,511,1959,42,1-20,Tekst unik per punen e studenteve jashte shtetit,Unified text for the work with the students abroad.,"AQSH, F.511, V.1959, D.42, Fl.1-20. Document title: Tekst unik per punen e studenteve jashte shtetit[Unified text for the work with the students abroad..]",,,,,
511/1959/82,AQSH,511,1959,82,3-4,Universiteti Shteteror i Tiranes derguar Ministrise se Arsimit dhe Kultures. Kerkese per specialiste (profesore) sovjetike per vitin shkollor 1959/60. dt. 23.11.1959.,"State University of Tirana to Ministry of Education and Culture, on 23.1.1959.","AQSH, F.511, V.1959, D.82, Fl.3-4. Document title: Universiteti Shteteror i Tiranes derguar Ministrise se Arsimit dhe Kultures. Kerkese per specialiste (profesore) sovjetike per vitin shkollor 1959/60. dt. 23.11.1959.[State University of Tirana to Ministry of Education and Culture, on 23.1.1959..]",,,,,
511_1959_10,AQSH,511,1959,10,20,"Fjalim i Manush Myftiut mbi viziten e tij ne Gjermanine Lindore dhe Cekosllovaki, 2.2.1959",Speech of Manush Myftiu on his visit to GDR and Czechoslovakia on 2.2.1959.,"AQSH, F.511, V.1959, D.10, Fl.20. Document title: Fjalim i Manush Myftiut mbi viziten e tij ne Gjermanine Lindore dhe Cekosllovaki, 2.2.1959[Speech of Manush Myftiu on his visit to GDR and Czechoslovakia on 2.2.1959..]",,,,,
511/1959/3,AQSH,511,1959,3,1-76,Raport mbi punen e delegacionit aresimor ne Cekosllovaki dhe Bullgari. Maj 1959,Report on the educational delegation in Czechoslovakia and Bulgaria. May 1959,"AQSH, F.511, V.1959, D.3, Fl.1-76. Document title: Raport mbi punen e delegacionit aresimor ne Cekosllovaki dhe Bullgari. Maj 1959[Report on the educational delegation in Czechoslovakia and Bulgaria. May 1959.]",,,,,
511_1959_42,AQSH,511,1959,42,1,Ministria e Arsimit dhe Kultures: Tekst Unik Udhezimesh me Karakter te Perhershem. Vellimi 1. Maj 1959. (Sekret),Ministry of Education and Culture: Single Guidilnes Text for long-term usage. May 1959. Vol. 1. (Secret),"AQSH, F.511, V.1959, D.42, Fl.1. Document title: Ministria e Arsimit dhe Kultures: Tekst Unik Udhezimesh me Karakter te Perhershem. Vellimi 1. Maj 1959. (Sekret)[Ministry of Education and Culture: Single Guidilnes Text for long-term usage. May 1959. Vol. 1. (Secret).]",,,,,
MPJ 60/1959,MEPJ,MPJ,1959,60,6-9,Informacion mbi gjendjen e kuadrit te drejtorise se jashtme,Information on the personnel of the foreign directorate,"MEPJ, F.MPJ, V.1959, D.60, Fl.6-9. Document title: Informacion mbi gjendjen e kuadrit te drejtorise se jashtme[Information on the personnel of the foreign directorate.]",,,,,
MPJ 60/1959,MEPJ,MPJ,1959,60,18,"MPJ, Dega I, derguar KQ PPSH, dt. 14.9.1959. Relacion mbi punen e perfaqesive dipllomatike me studentet","MFA to Central Commitee of PPSH: Report on the work of our diplomatic mission with the students, 14 September, 1959.","MEPJ, F.MPJ, V.1959, D.60, Fl.18. Document title: MPJ, Dega I, derguar KQ PPSH, dt. 14.9.1959. Relacion mbi punen e perfaqesive dipllomatike me studentet[MFA to Central Commitee of PPSH: Report on the work of our diplomatic mission with the students, 14 September, 1959..]",,,,,
495_1960_97,AQSH,495,1960,97,5,Studentet qe mbarojne studimet jashte shtetit per vitin 1960,Students graduating abroad in 1960,"AQSH, F.495, V.1960, D.97, Fl.5. Document title: Studentet qe mbarojne studimet jashte shtetit per vitin 1960[Students graduating abroad in 1960.]",,,,,
14/APOU_1960_30,AQSH,14-APOU,1960,30, 9-13,"KQ i PPSH. Vendim Nr. 30., dt. 3.2.1960 (Sekret)","Party Central Committee, Decree No. 31, 3.2.1060 (Secret)","AQSH, F.14-APOU, V.1960, D.30, Fl. 9-13. Document title: KQ i PPSH. Vendim Nr. 30., dt. 3.2.1960 (Sekret)[Party Central Committee, Decree No. 31, 3.2.1060 (Secret).]",,,,,
14/APOU_1960_30,AQSH,14-APOU,1960,30, 48-54,"Ministria e Tregtise derguar KQ te PPSH. ""Mbi zbatimin e detyrave te vendimit te Sekretariatit Qendror te P.P.SH. Lidhur me propaganden e Turizmit""","Ministry of Commerce to the Party Central Committee: ""On the implementation of the tasks of the decision of the Secretary of the Central Committee of P.P.SH.""","AQSH, F.14-APOU, V.1960, D.30, Fl. 48-54. Document title: Ministria e Tregtise derguar KQ te PPSH. ""Mbi zbatimin e detyrave te vendimit te Sekretariatit Qendror te P.P.SH. Lidhur me propaganden e Turizmit""[Ministry of Commerce to the Party Central Committee: ""On the implementation of the tasks of the decision of the Secretary of the Central Committee of P.P.SH."".]",,,,,
14/APOU_1960_31,AQSH,14-APOU,1960,30,55-59,"Vendim i KQ te PPSH. Nr. 61, 12.06.1960 (Sekret)","Decree of the Central Committee of PPSH.  No. 61, 12.06.1961","AQSH, F.14-APOU, V.1960, D.30, Fl.55-59. Document title: Vendim i KQ te PPSH. Nr. 61, 12.06.1960 (Sekret)[Decree of the Central Committee of PPSH.  No. 61, 12.06.1961.]",,,,,
14/APOU_1960_32,AQSH,14-APOU,1960,30, 70-72,"Komiteti i Marredhenieve Kulturale me Boten e Jashtme derguar KQ te PPSH. ""Relacion mbi disa ceshtje lidhur me zbatimin e konventave kulturale."" (Sekret)","Committee for Cultural Relations with the Outside World. ""Report on some issues with the implementation of the cultural conventions""","AQSH, F.14-APOU, V.1960, D.30, Fl. 70-72. Document title: Komiteti i Marredhenieve Kulturale me Boten e Jashtme derguar KQ te PPSH. ""Relacion mbi disa ceshtje lidhur me zbatimin e konventave kulturale."" (Sekret)[Committee for Cultural Relations with the Outside World. ""Report on some issues with the implementation of the cultural conventions"".]",,,,,
14/APOU_1960_33,AQSH,14-APOU,1960,30,75-77,"Vendim i KQ te PPSH. Nr. 58, 16.02.1960 (Sekret)","Decree of the Central Committee of PPSH.  No. 58, 16.02.1961","AQSH, F.14-APOU, V.1960, D.30, Fl.75-77. Document title: Vendim i KQ te PPSH. Nr. 58, 16.02.1960 (Sekret)[Decree of the Central Committee of PPSH.  No. 58, 16.02.1961.]",,,,,
14/APOU_1960_34,AQSH,14-APOU,1960,30,97-121,"Relacion per studentet qe do te ndjekin shkollat e larta brenda dhe jashte vendit per vitin akademik 1960-61; Vendim i KQ te PPSH. Nr. 60, 16.02.1960 (Sekret)","Report on Student Assignment in Domestic and Foreign Institutions for 1960-1961;  Decree of the Central Committee of PPSH.  No. 60, 16.02.1962","AQSH, F.14-APOU, V.1960, D.30, Fl.97-121. Document title: Relacion per studentet qe do te ndjekin shkollat e larta brenda dhe jashte vendit per vitin akademik 1960-61; Vendim i KQ te PPSH. Nr. 60, 16.02.1960 (Sekret)[Report on Student Assignment in Domestic and Foreign Institutions for 1960-1961;  Decree of the Central Committee of PPSH.  No. 60, 16.02.1962.]",,,,,
495/1960/97 ,AQSH,495,1960,97,2,Raport mbi shperndarjen e studenteve qe mbarojne studimet e larta  jashte shtetit dhe ne vend ne vitin 1960 ,Report on the allocation of domestic and outgoing graduates in 1960,"AQSH, F.495, V.1960, D.97, Fl.2. Document title: Raport mbi shperndarjen e studenteve qe mbarojne studimet e larta  jashte shtetit dhe ne vend ne vitin 1960 [Report on the allocation of domestic and outgoing graduates in 1960.]",,,,,
495_1960_97,AQSH,495,1960,97,15,Komisioni i Planit te Shtetit derguar Zv. Ministrit Spiro Koleka. Dt. 21.3.1960,State Planning Commission to Vc/Minister S. Koleka.  21.3.1960.,"AQSH, F.495, V.1960, D.97, Fl.15. Document title: Komisioni i Planit te Shtetit derguar Zv. Ministrit Spiro Koleka. Dt. 21.3.1960[State Planning Commission to Vc/Minister S. Koleka.  21.3.1960..]",,,,,
495_1960_97,AQSH,495,1960,97,23,Spiro Koleka derguar Komisionit te Planit te Shtetit. Pa date. ,"Spiro Koleka to State Planning Commission, n.a. ","AQSH, F.495, V.1960, D.97, Fl.23. Document title: Spiro Koleka derguar Komisionit te Planit te Shtetit. Pa date. [Spiro Koleka to State Planning Commission, n.a. .]",,,,,
495_1960_97,AQSH,495,1960,97,2,"Komisioni i Planit te Shtetit derguar Keshillit te Ministrave, dt. 13.07.1960","State Planning Commission to the Council of Ministers, 13.07.1960","AQSH, F.495, V.1960, D.97, Fl.2. Document title: Komisioni i Planit te Shtetit derguar Keshillit te Ministrave, dt. 13.07.1960[State Planning Commission to the Council of Ministers, 13.07.1960.]",,,,,
14/APOU_1960_31,AQSH,14-APOU,1960,31,63,Lista e aktivisteve te jashtem te Komiteti për Marrëdhënie Kulturore me Botën e Jashtme,External experts of the Committee for Cultural Foreign Relations ,"AQSH, F.14-APOU, V.1960, D.31, Fl.63. Document title: Lista e aktivisteve te jashtem te Komiteti për Marrëdhënie Kulturore me Botën e Jashtme[External experts of the Committee for Cultural Foreign Relations .]",,,,,
511_1960_49,AQSH,511,1960,49,227-228,"Ambasada Berlin derguar Ministrise se Arsimit dhe Kultures, dt. 25.10.1960","Embassy in Berlin to the Ministry of Education and Culture, 25.10.1960","AQSH, F.511, V.1960, D.49, Fl.227-228. Document title: Ambasada Berlin derguar Ministrise se Arsimit dhe Kultures, dt. 25.10.1960[Embassy in Berlin to the Ministry of Education and Culture, 25.10.1960.]",,,,,
511_1960_132,AQSH,511,1960,132,15-20,"Ministria e Puneve te Jashtme e B. R. S. S., Nr. 10, derguar Ambasades Shqiptare, Moske, dt. 16.03.1960. Projekt-Marreveshje.","Ministry of Foreign Affairs of USSR to Albanian Embassy, No. 10, Moscow 16 March 1960. Draft-Agreement","AQSH, F.511, V.1960, D.132, Fl.15-20. Document title: Ministria e Puneve te Jashtme e B. R. S. S., Nr. 10, derguar Ambasades Shqiptare, Moske, dt. 16.03.1960. Projekt-Marreveshje.[Ministry of Foreign Affairs of USSR to Albanian Embassy, No. 10, Moscow 16 March 1960. Draft-Agreement.]",,,,,
511_1960_2,AQSH,495,1960,2,9,Relacion mbi riorganizimin dhe zhvillimin e metejshem te aresimit popullor (Teper Sekret),Report on the riorganization and the future development of the education system,"AQSH, F.495, V.1960, D.2, Fl.9. Document title: Relacion mbi riorganizimin dhe zhvillimin e metejshem te aresimit popullor (Teper Sekret)[Report on the riorganization and the future development of the education system.]",,,,,
511_1960_2,AQSH,495,1960,2,204-205,"Plan masash … ""Mbi elementet fillestare politike ne shkollat e mesme"" ","Action plan … ""On the political principal elements at middle schools.""","AQSH, F.495, V.1960, D.2, Fl.204-205. Document title: Plan masash … ""Mbi elementet fillestare politike ne shkollat e mesme"" [Action plan … ""On the political principal elements at middle schools."".]",,,,,
14_1960_30,AQSH,14-APOU,1960,14,51,Relacion mbi zbatimin e detyrave te sekretariatit te Komitetit Qendror te PPSH lidhur me propaganden e turizmit. ,Report on the completion of the tasks assigned by the Central Comittee of the PLA related to propaganda and tourism.,"AQSH, F.14-APOU, V.1960, D.14, Fl.51. Document title: Relacion mbi zbatimin e detyrave te sekretariatit te Komitetit Qendror te PPSH lidhur me propaganden e turizmit. [Report on the completion of the tasks assigned by the Central Comittee of the PLA related to propaganda and tourism..]",,,,,
511_1960_83,AQSH,511,1960,83,1-9,"Komiteti per Marredhenie Kulturale me Boten e Jashtme derguar Ministrise se Arsimit dhe Kultures, dt. 23.09.1960","Committee for Cultural Relations with the Outside World to Ministry of Education and Culture, 23 September 1960","AQSH, F.511, V.1960, D.83, Fl.1-9. Document title: Komiteti per Marredhenie Kulturale me Boten e Jashtme derguar Ministrise se Arsimit dhe Kultures, dt. 23.09.1960[Committee for Cultural Relations with the Outside World to Ministry of Education and Culture, 23 September 1960.]",,,,,
495_1961_180,AQSH,495,1961,180,109,Permbledhje e Arsimit te Larte gjer me 1975,Summary of Higher Education until 1975,"AQSH, F.495, V.1961, D.180, Fl.109. Document title: Permbledhje e Arsimit te Larte gjer me 1975[Summary of Higher Education until 1975.]",,,,,
"Komisioni i planit te shtetit, 495/180/1961",AQSH,495,1961,180,1-20,Komisioni i Planit te Shtetit. Projekt-Studim 15 Vjecar per Aresimin dhe Kulturen 1961-1975. 10 Qershor 1957,State Planning Commission. Study on th 15 year plan for the education and culture 1961-1975. 10.06.1957,"AQSH, F.495, V.1961, D.180, Fl.1-20. Document title: Komisioni i Planit te Shtetit. Projekt-Studim 15 Vjecar per Aresimin dhe Kulturen 1961-1975. 10 Qershor 1957[State Planning Commission. Study on th 15 year plan for the education and culture 1961-1975. 10.06.1957.]",,,,,
F. 800 1961/14 Komisioni i Lart? i Atestimit  V. 1961   D. 14,AQSH,800,1961,14,1,"Vendim i Rektoratit te Universitetit Shteteror te Tiranes. ""Mbi disa masa per aspiranturen"", dt. 21.5.1961","Decision of State University of Tirana on ""Few measures for the postgraduate studies"" 21.05.1961","AQSH, F.800, V.1961, D.14, Fl.1. Document title: Vendim i Rektoratit te Universitetit Shteteror te Tiranes. ""Mbi disa masa per aspiranturen"", dt. 21.5.1961[Decision of State University of Tirana on ""Few measures for the postgraduate studies"" 21.05.1961.]",,,,,
F. 800 1961/13 Komisioni i Lart? i Atestimit  V. 1961   D. 13,AQSH,800,1961,13,1,Karakteristika permbledhese te disa specialisteve te prodhimit dhe te shkollave te larta qe propozohet t'u akordohet grade ose titull shkencor nga ana e komisionit te larte te atestimit.,General profiles of few specialists from production and higher education who are proposed to be granted scientific degree or title from the High Commission of Attestation,"AQSH, F.800, V.1961, D.13, Fl.1. Document title: Karakteristika permbledhese te disa specialisteve te prodhimit dhe te shkollave te larta qe propozohet t'u akordohet grade ose titull shkencor nga ana e komisionit te larte te atestimit.[General profiles of few specialists from production and higher education who are proposed to be granted scientific degree or title from the High Commission of Attestation.]",,,,,
511_1961_127,AQSH,511,1961,127,1,Raport mbi mos realizimin e planeve kulturale dhe bashkepunimi tekniko-shkencor me Bashkimin Sovjetik dhe vendet socialiste per vitin 1961,Report on the unfulfillment of the cultural plans and the technical-scientific collaboration with the Soviet Union and the Socialist Countries for year 1961,"AQSH, F.511, V.1961, D.127, Fl.1. Document title: Raport mbi mos realizimin e planeve kulturale dhe bashkepunimi tekniko-shkencor me Bashkimin Sovjetik dhe vendet socialiste per vitin 1961[Report on the unfulfillment of the cultural plans and the technical-scientific collaboration with the Soviet Union and the Socialist Countries for year 1961.]",,,,,
511_1961_127,AQSH,511,1961,127,9,Te dhena mbi demet e shkaktuara nga prishja e njeanshme e marreveshjeve nga pala sovjetike,Data on the damages caused from the unilateral termination of the agreement from the Soviet side ,"AQSH, F.511, V.1961, D.127, Fl.9. Document title: Te dhena mbi demet e shkaktuara nga prishja e njeanshme e marreveshjeve nga pala sovjetike[Data on the damages caused from the unilateral termination of the agreement from the Soviet side .]",,,,,
1048_1961_141,AQSH,1048,1961,141,,,,"AQSH, F.1048, V.1961, D.141, Fl.. Document title: [.]",,,,,
1048_1961_141,AQSH,1048,1961,141,1-166,"Informacione, plane, projekte dhe konventa bashkëpunimi kultural dhe shkencor midis Shtetit Shqiptar dhe R.D. Gjermane, Francës, BRSS, Bullgarisë, Çekosllovakisë, Hungarisë, Polonisë, Rumanisë, Irakut",Information on international cooperations with Eastern Germany etc. ,"AQSH, F.1048, V.1961, D.141, Fl.1-166. Document title: Informacione, plane, projekte dhe konventa bashkëpunimi kultural dhe shkencor midis Shtetit Shqiptar dhe R.D. Gjermane, Francës, BRSS, Bullgarisë, Çekosllovakisë, Hungarisë, Polonisë, Rumanisë, Irakut[Information on international cooperations with Eastern Germany etc. .]",,,,,
495_1962_139,AQSH,495,1962,139,,Numuri i personelit mesimor e shkencor ne shkollat e larta te vendit per vitin akademik 1962-63,Number of teaching and research personel for the academic year 1962-63,"AQSH, F.495, V.1962, D.139, Fl.. Document title: Numuri i personelit mesimor e shkencor ne shkollat e larta te vendit per vitin akademik 1962-63[Number of teaching and research personel for the academic year 1962-63.]",,,,,
"MPJ 42/1962, Ambasada Sovjetike to MPJ, dt. 28 shtator 1961, fl. 31-32.",MEPJ,MPJ,1962,42,31-32,"Ambasada e BS ne Tirane derguar Ministrise se Puneve te Jashtme, dt. 28.09.1961","Embassy of USSR to Tirana to Ministry of Foreign Affairs of Albania, 28 September 1961","MEPJ, F.MPJ, V.1962, D.42, Fl.31-32. Document title: Ambasada e BS ne Tirane derguar Ministrise se Puneve te Jashtme, dt. 28.09.1961[Embassy of USSR to Tirana to Ministry of Foreign Affairs of Albania, 28 September 1961.]",,,,,
14/APOU_1963_189,AQSH,14-APOU,1963,189,21-31,Projekt-vendim mbi ndryshime ne statutin e Institutit te Larte Shteteror te Bujqesise.,Draft decree on the amandments of the statute of the Higher State Institute of Agriculture,"AQSH, F.14-APOU, V.1963, D.189, Fl.21-31. Document title: Projekt-vendim mbi ndryshime ne statutin e Institutit te Larte Shteteror te Bujqesise.[Draft decree on the amandments of the statute of the Higher State Institute of Agriculture.]",,,,,
495_1963_155,AQSH,495,1963,155,26,Instituti i Larte Bujqesor: Studentet e huaj qe studiojne ne vendin tone.,Agriculture Institute: Foreign students in our country. ,"AQSH, F.495, V.1963, D.155, Fl.26. Document title: Instituti i Larte Bujqesor: Studentet e huaj qe studiojne ne vendin tone.[Agriculture Institute: Foreign students in our country. .]",,,,,
14_1963_73,AQSH,14-APOU,1963,73,22,"Ministria e Arsimit dhe Kultures derguar KQ. PPSH, dt. 14.9.1963","Ministry of Education and Culture to Central Committee of PPSH, 14 September, 1963","AQSH, F.14-APOU, V.1963, D.73, Fl.22. Document title: Ministria e Arsimit dhe Kultures derguar KQ. PPSH, dt. 14.9.1963[Ministry of Education and Culture to Central Committee of PPSH, 14 September, 1963.]",,,,,
14_1963_576,AQSH,14-APOU,1963,576,2,Raport mbi gjendjen e marredhenieve nderkombetare te Republikes Popullore te Shqiperise gjate vitit 1963,Report on the state of international relations of the People's Republic of Albania during 1963,"AQSH, F.14-APOU, V.1963, D.576, Fl.2. Document title: Raport mbi gjendjen e marredhenieve nderkombetare te Republikes Popullore te Shqiperise gjate vitit 1963[Report on the state of international relations of the People's Republic of Albania during 1963.]",,,,,
14_1963_189,AQSH,14-APOU,1963,189,36-43,"Ministria e Arsimit derguar Komitetit Qendror te PPSH, 13.3.1963","Ministry of Education and Culture to Central Committee of PPSH, 13 March 1963","AQSH, F.14-APOU, V.1963, D.189, Fl.36-43. Document title: Ministria e Arsimit derguar Komitetit Qendror te PPSH, 13.3.1963[Ministry of Education and Culture to Central Committee of PPSH, 13 March 1963.]",,,,,
"MPJ  112/1963 - Sezai Shyti to MPJ, bisede me nje mesuese ruse., fl. 1. N.d.",MEPJ,MPJ,1963,112,1,"Sezai Shyti derguar Ministrise se Puneve te Jashtme, mbi nje bisede me nje pedagoge sovjetike n.d. ","S. Shyti to Ministry of Foreign Affairs on a Soviet teacher, n.d.","MEPJ, F.MPJ, V.1963, D.112, Fl.1. Document title: Sezai Shyti derguar Ministrise se Puneve te Jashtme, mbi nje bisede me nje pedagoge sovjetike n.d. [S. Shyti to Ministry of Foreign Affairs on a Soviet teacher, n.d..]",,,,,
490_1964_241,AQSH,490,1964,241, 1-5,"Ministria e Arsimit dhe Kultures derguar Kryeministrise. Dt. 24.4.1964. ""Mbi permiresimin e mesimit te gjuheve te huaja ne shkolla.""","Ministry of Education and Culture to Council of Ministers. Dt. 24.4.1964. ""On the improvement of foreign language teaching""","AQSH, F.490, V.1964, D.241, Fl. 1-5. Document title: Ministria e Arsimit dhe Kultures derguar Kryeministrise. Dt. 24.4.1964. ""Mbi permiresimin e mesimit te gjuheve te huaja ne shkolla.""[Ministry of Education and Culture to Council of Ministers. Dt. 24.4.1964. ""On the improvement of foreign language teaching"".]",,,,,
14_1964_str_705,AQSH,14-STR,1964,705,7,Ambasada Berlin derguar Ministrise se Puneve te Jashtme. Shifer 1063. Dt. 12.6.64 ,Embassy in Berlin to Ministry of Foreign Affairs. 11.06.1964,"AQSH, F.14-STR, V.1964, D.705, Fl.7. Document title: Ambasada Berlin derguar Ministrise se Puneve te Jashtme. Shifer 1063. Dt. 12.6.64 [Embassy in Berlin to Ministry of Foreign Affairs. 11.06.1964.]",,,,,
495_1964_160,AQSH,495,1964,161,15-21,Te dhena statistikore derguar nga entet botuese dhe te punuara nga ana e Komisionit te Planit te Shtetit mbi numrin e librave …,Statistical data sent from publishing entities and processed from the State Planning Commission,"AQSH, F.495, V.1964, D.161, Fl.15-21. Document title: Te dhena statistikore derguar nga entet botuese dhe te punuara nga ana e Komisionit te Planit te Shtetit mbi numrin e librave …[Statistical data sent from publishing entities and processed from the State Planning Commission.]",,,,,
14_str_648_1964,AQSH,14-APSTR,1964,648,1-6,"Ministria e Puneve te Jashtme derguar Komitetit Qendror, 6.4.1964","Ministry of Foreign Affairs to Central Committee, 6.4.1964","AQSH, F.14-APSTR, V.1964, D.648, Fl.1-6. Document title: Ministria e Puneve te Jashtme derguar Komitetit Qendror, 6.4.1964[Ministry of Foreign Affairs to Central Committee, 6.4.1964.]",,,,,
14_apstr_1964_592,AQSH,14-APSTR,1964,592,1-15,"Ambasada e RPSH ne Pekin, derguar Ministrise se Puneve te Jashtme. Dt. 22.06.1964","Albanian Embassy in China to Tirana, MFA, 22.06.1964","AQSH, F.14-APSTR, V.1964, D.592, Fl.1-15. Document title: Ambasada e RPSH ne Pekin, derguar Ministrise se Puneve te Jashtme. Dt. 22.06.1964[Albanian Embassy in China to Tirana, MFA, 22.06.1964.]",,,,,
mpj_1964_250,MEPJ,MPJ,1964,250,1-21,Mbi hapjen e ambasadës së Vietnamit në vendin tonë,On the opening of the Vietnamese embassy in our country,"MEPJ, F.MPJ, V.1964, D.250, Fl.1-21. Document title: Mbi hapjen e ambasadës së Vietnamit në vendin tonë[On the opening of the Vietnamese embassy in our country.]",,,,,
800_1965_5,AQSH,800,1965,5,,Regjister me te dhena te kuadrove qe kane fituar grada e tituj shkencor. ,Records on the cadres who have been granted ranks and titles.,"AQSH, F.800, V.1965, D.5, Fl.. Document title: Regjister me te dhena te kuadrove qe kane fituar grada e tituj shkencor. [Records on the cadres who have been granted ranks and titles..]",,,,,
495_1965_156,AQSH,495,1965,155,,Anuari i Mbrendshme per vitet shkollore 1960/61-1965/66,Internal Yearbook for the school year 1960-1965,"AQSH, F.495, V.1965, D.155, Fl.. Document title: Anuari i Mbrendshme per vitet shkollore 1960/61-1965/66[Internal Yearbook for the school year 1960-1965.]",,,,,
F. 800 _ 1965/5 Komisioni i Lart? i Atestimit  V. 1965   D. 5,AQSH,800,1965,5,,,,,,,,,
